id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000056/submissions/05073321_24_200900309/Freckles.java",,""
2,RECORDDECLARATION,"Freckles",Freckles.java(8:1-166:2),"class Freckles{

	static double matrix[][];

	static boolean visited[][];
	
	static double dist[];

	static int pred[];

	static int q;

	public static void main(String[] args) {
		Scanner in = new Scanner(System.in).useLocale(Locale.US);

		int n = q = in.nextInt();

		matrix = new double[n][n];

		visited = new boolean[n][n];

		dist = new double[n];

		pred = new int[n];

		double coordinates[][] = new double[n][2];


		for(int i = 0; i<n; i++){
			double x = in.nextDouble();
			double y = in.nextDouble();
			coordinates[i][0] = x;
			coordinates[i][1] = y;
		}

		for(int i = 0; i<n; i++){
			for (int j=i; j<n; j++) {
				if(i!=j){
					matrix[j][i]= matrix[i][j] = calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1]);
				}
				
			}
		}
		

		prim(matrix, 0);


		// print();

		// System.out.println();
		double sum=0;
		for(int i=0; i<n; i++){
			sum+=dist[i];
			// System.out.println(sum);
		}
		System.out.printf(Locale.US, ""%.2f\n"", sum);
	}

	private static double calc(double xi, double xj, double yi, double yj){
		return Math.sqrt((xi-xj)*(xi-xj) + (yi-yj)*(yi-yj));
	}

	private static void kruskall(){

	}

	//aplicaçao por matriz
	private static void prim(double graph[][], int no){
		int aux=q;
		LinkedList<Integer> vertices = new LinkedList<Integer>();

		for(int i=0; i<q; i++){
			pred[i]=0;
			dist[i]=Double.MAX_VALUE;
			vertices.add(i);
		}
		dist[no]=0;
		while(vertices.peekFirst()!=null){
			int u = min(vertices);


			// for(int i=0; i<q; i++){
			// 	graph[u][i]=0;		
			// }

			// System.out.println();
			// System.out.println(u + "" no extraido"");
			for(int i=0; i<q; i++){
				// System.out.println();

				if(vertices.indexOf(new Integer(i))!=-1 && graph[u][i]<dist[i]){
					pred[i]=u;
					// System.out.println(""dentro do if "" + graph[u][i]);
					dist[i]=graph[u][i];
					// System.out.println(dist[i]+"" distancia"");
				}
			}


			// print();
			// aux--;
		}

	}

	private static int min(LinkedList<Integer> graph){

		// for(Integer i: graph){
		// 	System.out.println();
		// 	System.out.println(""graph ""+i);
		// }


		double min = Double.MAX_VALUE;
		int index =0;

		for(Integer i: graph){
			
				if(dist[i]<min){
					index = i;
					min = dist[i];
					// System.out.println(min+"" min"");
				}
			
			
		}

		

		// System.out.println(""min ""+min+"" ""+index);
		// graph[no][index]=0;
		graph.remove(new Integer(index));
		return index;
	}

	private static void print(){
		// System.out.println();
		// for(int i=0; i<q; i++){
		// 	for(int j=0; j<q; j++){
		// 		System.out.print(matrix[i][j]+"" "");
		// 	}
		// 	System.out.println();
		// }
		// System.out.println();


		for(int i=0; i<q; i++){
			System.out.print(dist[i]+"" "");
		}
		System.out.println();
		
		for(int i=0; i<q; i++){
			System.out.print(pred[i]+"" "");
		}
	

	}
}"
3,INCLUDEDECLARATION,"java.util",,""
4,FIELDDECLARATION,"this",,""
5,FIELDDECLARATION,"matrix",Freckles.java(10:2-10:27),"matrix"
6,FIELDDECLARATION,"visited",Freckles.java(12:2-12:29),"visited"
7,FIELDDECLARATION,"dist",Freckles.java(14:2-14:23),"dist"
8,FIELDDECLARATION,"pred",Freckles.java(16:2-16:20),"pred"
9,FIELDDECLARATION,"q",Freckles.java(18:2-18:15),"q"
10,METHODDECLARATION,"main",Freckles.java(20:2-65:3),"public static void main(String[] args) {
		Scanner in = new Scanner(System.in).useLocale(Locale.US);

		int n = q = in.nextInt();

		matrix = new double[n][n];

		visited = new boolean[n][n];

		dist = new double[n];

		pred = new int[n];

		double coordinates[][] = new double[n][2];


		for(int i = 0; i<n; i++){
			double x = in.nextDouble();
			double y = in.nextDouble();
			coordinates[i][0] = x;
			coordinates[i][1] = y;
		}

		for(int i = 0; i<n; i++){
			for (int j=i; j<n; j++) {
				if(i!=j){
					matrix[j][i]= matrix[i][j] = calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1]);
				}
				
			}
		}
		

		prim(matrix, 0);


		// print();

		// System.out.println();
		double sum=0;
		for(int i=0; i<n; i++){
			sum+=dist[i];
			// System.out.println(sum);
		}
		System.out.printf(Locale.US, ""%.2f\n"", sum);
	}"
