id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000056/submissions/05354536_24_201008648/twentyfour.java",,""
2,RECORDDECLARATION,"no",twentyfour.java(5:1-21:2),"class no{
	
	double x, y;
	double dist;
	List<no> adj;
	no pai;
	boolean uspai;
	
	no(double x1, double y1) {
		x = x1;
		y = y1;
		dist = 999999.0;
		uspai = false;
		pai = null;
		adj=new LinkedList<no>();
	}
}"
3,RECORDDECLARATION,"graf",twentyfour.java(23:1-29:2),"class graf{
	
	List<no> v;
	graf(){
		v=new LinkedList<no>();
	}
}"
4,RECORDDECLARATION,"twentyfour",twentyfour.java(31:1-127:2),"public class twentyfour {

	public static void prim(graf g, no r) {
		
		r.dist = 0;
		LinkedList<no> q = new LinkedList<no>();
		LinkedList<no> caminho = new LinkedList<no>();
		for (no n:g.v)
			q.add(n);
		
		caminho.add(r);

		
		while (!q.isEmpty()) {
			
			int index= extrair(q,caminho);
			no u = q.remove(index-1);
			
			//System.out.println(index);
			
			//System.out.println(q.toString() + "" ""+ caminho.toString());
			
			double dist = 9999999.0;
			for (no adj:caminho)
				if (adj != u) {
					dist = Math.sqrt(((adj.x - u.x) * (adj.x - u.x))
							+ ((adj.y - u.y) * (adj.y - u.y)));

					if (dist < u.dist) {
						u.dist = dist;
						u.pai = u;
					}
					
				}
			caminho.add(u);
		}
	}

	private static int extrair(List<no> q, List<no> cam) {
		
		double dist=99999999.0;
		int i=0;
		int index=i;
		for(no q2:q){
			i++;
			for(no cami:cam){
				//double dist2=99999.0;
				//if(q2!=cami){
					double dist2 = Math.sqrt(((cami.x - q2.x) * (cami.x - q2.x))
							+ ((cami.y - q2.y) * (cami.y - q2.y)));
					if(dist2<dist){
						dist=dist2;
						index=i;
					}
				//}
			}
		}
		return index;
	}

	public static void main(String[] args) {

		@SuppressWarnings(""resource"")
		Scanner in = new Scanner(System.in);
		int n = in.nextInt();
		double count = 0;
		graf g = new graf();
		for (int i = 0; i < n; i++){
			g.v.add(new no(in.nextDouble(), in.nextDouble()));
			//for(no temp:g.v)
				//g.v.get(i).adj.add(temp);
			/*for(no adjs:g.v.get(i).adj){
				double dist = Math.sqrt(((adjs.x - g.v.get(i).x) * (adjs.x - g.v.get(i).x)) + ((adjs.y - g.v.get(i).y) * (adjs.y - g.v.get(i).y)));
				if(dist>0 && dist<g.v.get(i).dist)
					g.v.get(i).dist=dist;
				*/	
			//}
		}
		
		//for (int i = 0; i < n; i++)
			//System.out.print("" ++++ "" +g.v.get(i));
		
		prim(g, g.v.get(0));
		
		//for (int i = 0; i < n; i++)
			//System.out.println(""\n\n""+g.v.get(i)+"" "" +g.v.get(i).dist + "" ""+ g.v.get(i).pai);
		
		for (int i = 0; i < n; i++)
			if (!g.v.get(i).uspai) {
				//System.out.println(g.v.get(i).dist);
				count += g.v.get(i).dist;
				g.v.get(i).uspai = true;
			}
		System.out.println(String.format(""%.2f"", count));
	}
	
}"
5,INCLUDEDECLARATION,"java.util.LinkedList",,""
6,INCLUDEDECLARATION,"java.util.List",,""
7,INCLUDEDECLARATION,"java.util.Scanner",,""
8,FIELDDECLARATION,"this",,""
9,FIELDDECLARATION,"x",twentyfour.java(7:2-7:14),"x"
10,FIELDDECLARATION,"dist",twentyfour.java(8:2-8:14),"dist"
11,FIELDDECLARATION,"adj",twentyfour.java(9:2-9:15),"adj"
12,FIELDDECLARATION,"pai",twentyfour.java(10:2-10:9),"pai"
13,FIELDDECLARATION,"uspai",twentyfour.java(11:2-11:16),"uspai"
14,CONSTRUCTORDECLARATION,"no",twentyfour.java(13:2-20:3),"no(double x1, double y1) {
		x = x1;
		y = y1;
		dist = 999999.0;
		uspai = false;
		pai = null;
		adj=new LinkedList<no>();
	}"
15,COMPOUNDSTATEMENT,"",twentyfour.java(13:27-20:3),"{
		x = x1;
		y = y1;
		dist = 999999.0;
		uspai = false;
		pai = null;
		adj=new LinkedList<no>();
	}"
16,PARAMVARIABLEDECLARATION,"x1",twentyfour.java(13:5-13:14),"double x1"
17,PARAMVARIABLEDECLARATION,"y1",twentyfour.java(13:16-13:25),"double y1"
18,DECLAREDREFERENCEEXPRESSION,"this",twentyfour.java(14:3-14:4),"this"
19,RETURNSTATEMENT,"",,""
20,BINARYOPERATOR,"=",twentyfour.java(14:3-14:10),"x = x1;"
